Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,WasBatched,DwmNotified,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.699230,17.386,16.673,16.207,32.644,81.916
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.716626,17.396,16.677,15.110,31.661,81.197
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.732231,15.605,16.694,15.783,32.790,82.286
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.748442,16.211,16.633,16.337,33.438,82.708
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.765162,16.720,16.692,16.844,33.237,82.680
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.783560,18.398,16.722,15.161,31.511,81.005
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.799740,16.180,16.610,15.249,32.191,81.434
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.817667,17.927,16.789,14.239,30.648,80.295
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.834340,16.673,16.633,13.856,30.833,80.256
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.851139,16.799,16.670,13.885,30.721,80.126
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.865873,14.734,16.762,16.000,32.709,82.155
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.884162,18.290,16.582,15.435,30.961,80.448
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.901555,17.393,16.655,17.582,30.452,79.710
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.922206,20.651,16.691,9.365,26.448,75.749
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.932802,10.596,16.707,15.786,32.446,81.860
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.949662,16.860,16.632,15.652,32.125,81.632
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.966036,16.374,16.760,15.769,32.444,82.019
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.982850,16.814,16.639,18.731,32.304,81.844
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.002500,19.650,16.680,13.008,29.394,78.873
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.018349,15.849,16.690,13.264,30.309,79.714
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.032316,13.967,16.689,16.081,33.049,82.436
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.048812,16.496,16.683,16.387,33.236,82.623
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.065544,16.732,16.654,16.505,33.109,82.545
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.084374,18.831,16.633,14.025,30.915,80.347
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.099462,15.087,16.723,16.085,32.511,81.983
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.116919,17.457,16.714,15.327,31.691,81.239
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.134657,17.738,16.671,13.717,30.594,80.172
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.148942,14.285,16.623,16.509,33.048,82.511
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.166377,17.436,16.700,15.371,32.426,81.775
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.182284,15.906,16.768,16.230,33.152,82.636
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.200078,17.794,16.686,15.082,31.989,81.529
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.215652,15.574,16.610,16.077,33.017,82.565
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.232392,16.740,16.810,16.030,33.464,82.635
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.248794,16.402,16.623,16.657,33.452,82.856
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.267318,18.524,16.718,14.803,31.444,81.050
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.282454,15.136,16.667,16.052,33.070,82.580
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.298902,16.449,16.610,16.365,33.380,82.742
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.315663,16.761,16.594,16.275,33.344,82.574
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.332494,16.830,16.721,16.623,33.213,82.465
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.350121,17.627,16.713,15.221,32.209,81.551
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.365719,15.598,16.750,16.284,33.021,82.703
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.383036,17.318,16.629,15.530,32.422,82.014
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.399216,16.179,16.708,16.836,33.054,82.543
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.418506,19.291,16.649,13.594,30.581,79.901
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.432594,14.088,16.755,16.317,33.076,82.568
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.451942,19.348,16.618,13.774,30.678,79.838
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.468179,16.237,16.677,14.438,30.831,80.277
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.493386,25.207,16.702,6.080,22.325,71.773
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.502441,9.054,16.682,13.027,29.889,79.400
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.515932,13.492,16.680,16.827,33.102,82.588
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.533695,17.762,16.688,15.561,32.002,81.514
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.550077,16.382,16.567,15.770,32.316,81.698
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.567519,17.442,16.764,14.633,31.551,81.021
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.582532,15.014,16.615,16.690,33.429,82.622
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.599616,17.083,16.774,16.981,32.714,82.313
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.617318,17.702,16.593,15.315,31.885,81.203
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.634767,17.449,16.708,14.263,30.912,80.462
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.650388,15.621,16.643,15.041,32.173,81.483
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.665852,15.464,16.731,16.444,33.291,82.750
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.683525,17.673,16.641,15.358,32.296,81.718
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.699512,15.987,16.745,16.010,32.854,82.477
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.716083,16.571,16.636,16.065,33.145,82.541
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.732513,16.430,16.683,16.481,33.341,82.795
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.749522,17.009,16.692,16.034,33.109,82.478
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.767213,17.691,16.688,15.089,32.037,81.474
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.784135,16.922,16.670,14.758,31.813,81.222
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.799606,15.471,16.698,16.278,32.980,82.448
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.816596,16.990,16.681,15.966,32.616,82.139
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.835541,18.944,16.682,13.450,30.528,79.876
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.849358,13.817,16.735,16.275,33.246,82.794
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.867467,18.110,16.615,14.885,31.962,81.299
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.882756,15.289,16.676,19.770,33.238,82.687
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.905845,23.089,16.611,10.819,26.926,76.209
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.918724,12.879,16.699,13.762,30.688,80.029
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.935511,16.787,16.735,13.592,30.553,79.977
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.950523,15.012,16.622,15.274,32.005,81.586
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.966175,15.651,16.858,16.140,33.148,82.793
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.982692,16.517,16.516,16.322,33.336,82.792
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,8.999633,16.941,16.691,16.154,33.010,82.542
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,9.016149,16.516,16.678,16.237,33.462,82.704
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,9.033090,16.941,16.735,16.357,32.984,82.497
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,9.050580,17.490,16.671,15.416,32.245,81.678
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,9.066525,15.945,16.677,16.145,32.844,82.410
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,9.083080,16.555,16.697,16.069,33.056,82.553
